0,Chevrolet,42
9,BMW,31
10,Hyundai,40
12,Mazda,33
13,Ford,35
14,Buick,25
15,Mazda,32
16,Buick,29
18,Saab,25
19,Chevrolet,22
28,Chevrolet,26
30,Saab,25
BMW,i3 REX,39
BYD,e6,63
GMC,Sierra 2500 HD 2WD CNG,9
Geo,Metro XFI,47
Kia,Optima Hybrid,38
Ram,1500 HFE 2WD,24
SRT,Viper,15
VPG,MV-1,15
Audi,A3,36
Fiat,500,34
Ford,E150 Club Wagon 2WD,9
Jeep,Renegade 2WD,27
MINI,MiniE,98
Saab,9-3 Sport Sedan,24
Yugo,GV/GVX,26
Acura,ILX Hybrid,38
Buick,Encore,30
Dacia,Coupe,23
Dodge,W250 Pickup 4WD,9
Eagle,Summit,31
Honda,Insight,53
Isuzu,750C/I-Mark,35
Lexus,CT 200h,42
Lotus,Elan,24
Mazda,2,37
Panos,Roadster,15
Qvale,Detomaso Mangusta,21
Scion,iA,37
Tesla,Model S (75 kW-hr battery pack),98
Volvo,S60 FWD,30
smart,fortwo electric drive coupe,87
Daewoo,Kalos,27
Fisker,Karma,20
Hummer,H3 4WD,16
Jaguar,XF,24
Merkur,XR4Ti,20
Morgan,Plus Eight,17
Nissan,Leaf,99
Pagani,Huayra Coupe,13
Saleen,SSC,16
Saturn,Aura Hybrid,29
Shelby,Mustang GT,17
Spyker,C8 Aileron,17
Subaru,Justy,34
Suzuki,SA310,42
Toyota,RAV4 EV,78
Vector,Avtech SC / M12,9
Bentley,Continental GT,19
Bertone,X1/9,22
Bugatti,Veyron,10
Ferrari,550 Maranello/Barchetta,9
Genesis,G80 RWD,22
Hyundai,Sonata Hybrid SE,42
Lincoln,MKZ Hybrid FWD,40
Maybach,62,13
Mercury,Lynx,40
Peugeot,505,26
Pontiac,Firefly,42
Porsche,Boxster,26
Renault,Alliance/Encore,33
Cadillac,Limousine,9
Chrysler,200,28
Daihatsu,Charade,34
Goldacre,Goldacre Limited,18
Infiniti,Q50 Hybrid,31
Mahindra,TR40,20
Maserati,Quattroporte,8
PAS, Inc,Pas-Typhoon,14
Plymouth,Voyager/Grand Voyager 2WD,35
Sterling,827,19
Chevrolet,C1500 Pickup 2WD,9
AM General,DJ Po Vehicle 2WD,17
Alfa Romeo,4C,28
BMW Alpina,B7,16
Land Rover,Range Rover TDV6,25
Mitsubishi,Mirage,40
Oldsmobile,Firenza Cruiser,27
Volkswagen,Jetta Hybrid,45
J.K. Motors,190E 2.3 MERC BENZ,17
Lamborghini,Countach,7
London Taxi,London Taxi,22
Pininfarina,Spider,22
Rolls-Royce,Silver Spur Limousine,9
Tecstar, LP,Foose F150 Regular Cab 2WD,13
Aston Martin,Saloon/Vantage/Volante,9
CX Automotive,Cxestate,19
Federal Coach,Lincoln Eaton,17
Grumman Olson,Kubvan,31
Mcevoy Motors,240 DL/240 GL Sedan,20
Mercedes-Benz,B250e,84
PAS Inc - GMC,Pas-Syclone,15
Azure Dynamics,Transit Connect Electric Van,62
General Motors,Coachbuilder Wagon,18
Red Shift Ltd.,Delta 204T,23
Aurora Cars Ltd,Aurora,15
CCC Engineering,Duntov GT,15
CODA Automotive,CODA,73
Excalibur Autos,Phaeton,14
ASC Incorporated,GNX,16
Isis Imports Ltd,Morgan Plus 8,20
Autokraft Limited,A.C.Mkiv,17
Evans Automobiles,Series 1,19
Roush Performance,Stage 3 Mustang,18
E. P. Dutton, Inc.,Funeral Coach,17
McLaren Automotive,570S Coupe,19
Saleen Performance,S281 Family,14
JBA Motorcars, Inc.,W-126/4 Series,15
London Coach Co Inc,London Taxi,16
Ruf Automobile Gmbh,Ruf,13
TVR Engineering Ltd,TVR 280i Convertible,18
Texas Coach Company,500 SEC,12
Vixen Motor Company,21 TD,16
Quantum Technologies,Chevrolet Cavalier,21
Import Trade Services,MB 300SL,17
Mobility Ventures LLC,MV-1,15
Wallace Environmental,Wetl 190E 2.3,19
Bitter Gmbh and Co. Kg,Bitter SC,16
Laforza Automobile Inc,Laforza,11
Lambda Control Systems,300E,17
Panoz Auto-Development,Panoz Roadster,22
Avanti Motor Corporation,Avanti II,17
Consulier Industries Inc,Consulier GTP,21
Grumman Allied Industries,LLV,17
Dabryan Coach Builders Inc,WB,17
American Motors Corporation,Eagle 4WD,21
Panther Car Company Limited,Kallista,21
Volga Associated Automobile,Niva,19
Bill Dovell Motor Car Company,Dovell 230E,18
Import Foreign Auto Sales Inc,1fas 410,19
Kenyon Corporation Of America,Kenyon 5.0 Coupe,14
Environmental Rsch and Devp Corp,ERD 1,16
Superior Coaches Div E.p. Dutton,Funeral Coach  2WD,10
S and S Coach Company  E.p. Dutton,Funeral Coach  2WD,10
